key,state_name,district_name,crop_year,season,crop,area,min_rainfall,max_rainfall,mean_rainfall,annual_rainfall,production,yield,yield_class
Karnataka-Bagalkot-Sannhamp-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Sannhamp,35.0,0.0,173.079,71.463,857.558,9.0,0.257,Very Good
Karnataka-Bagalkot-Sugarcane-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Sugarcane,62050.0,0.0,173.079,71.463,857.558,7014752.0,113.05,Very Good
Karnataka-Bagalkot-Sweet potato-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Sweet potato,51.0,0.0,173.079,71.463,857.558,162.0,3.176,Poor
Karnataka-Bagalkot-Turmeric-2000-Whole Year,Karnataka,Bagalkot,2000,Whole Year,Turmeric,301.0,0.0,173.079,71.463,857.558,1476.0,4.904,Good
Karnataka-Bagalkot-Arhar/Tur-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Arhar/Tur,1502.0,0.0,127.964,50.627,607.528,925.0,0.616,Good
Karnataka-Bagalkot-Bajra-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Bajra,15169.0,0.0,127.964,50.627,607.528,11519.0,0.759,Good
Karnataka-Bagalkot-Castor seed-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Castor seed,19.0,0.0,127.964,50.627,607.528,14.0,0.737,Poor
Karnataka-Bagalkot-Cotton(lint)-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Cotton(lint),14104.0,0.0,127.964,50.627,607.528,22539.0,1.598,Good
Karnataka-Bagalkot-Groundnut-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Groundnut,14509.0,0.0,127.964,50.627,607.528,17691.0,1.219,Very Good
Karnataka-Bagalkot-Horse-gram-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Horse-gram,1370.0,0.0,127.964,50.627,607.528,1606.0,1.172,Excellent
Karnataka-Bagalkot-Jowar-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Jowar,6786.0,0.0,127.964,50.627,607.528,12064.0,1.778,Very Good
Karnataka-Bagalkot-Maize-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Maize,21340.0,0.0,127.964,50.627,607.528,66431.0,3.113,Very Good
Karnataka-Bagalkot-Mesta-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Mesta,5.0,0.0,127.964,50.627,607.528,10.0,2.0,Very Good
Karnataka-Bagalkot-Moong(Green Gram)-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Moong(Green Gram),2301.0,0.0,127.964,50.627,607.528,501.0,0.218,Poor
Karnataka-Bagalkot-Niger seed-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Niger seed,164.0,0.0,127.964,50.627,607.528,25.0,0.152,Poor
Karnataka-Bagalkot-Other Kharif pulses-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Other Kharif pulses,450.0,0.0,127.964,50.627,607.528,151.0,0.336,Poor
Karnataka-Bagalkot-Rice-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Rice,171.0,0.0,127.964,50.627,607.528,411.0,2.404,Good
Karnataka-Bagalkot-Sesamum-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Sesamum,897.0,0.0,127.964,50.627,607.528,581.0,0.648,Good
Karnataka-Bagalkot-Small millets-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Small millets,43.0,0.0,127.964,50.627,607.528,16.0,0.372,Good
Karnataka-Bagalkot-Soyabean-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Soyabean,410.0,0.0,127.964,50.627,607.528,303.0,0.739,Good
Karnataka-Bagalkot-Sunflower-2001-Kharif,Karnataka,Bagalkot,2001,Kharif,Sunflower,8560.0,0.0,127.964,50.627,607.528,6843.0,0.799,Poor
Karnataka-Bagalkot-Gram-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Gram,25681.0,0.0,127.964,50.627,607.528,17984.0,0.7,Very Good
Karnataka-Bagalkot-Horse-gram-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Horse-gram,9429.0,0.0,127.964,50.627,607.528,5554.0,0.589,Good
Karnataka-Bagalkot-Jowar-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Jowar,170489.0,0.0,127.964,50.627,607.528,125015.0,0.733,Poor
Karnataka-Bagalkot-Linseed-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Linseed,6261.0,0.0,127.964,50.627,607.528,2641.0,0.422,Excellent
Karnataka-Bagalkot-Maize-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Maize,15597.0,0.0,127.964,50.627,607.528,43755.0,2.805,Good
Karnataka-Bagalkot-Other  Rabi pulses-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Other  Rabi pulses,660.0,0.0,127.964,50.627,607.528,88.0,0.133,Good
Karnataka-Bagalkot-Rapeseed &Mustard-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Rapeseed &Mustard,74.0,0.0,127.964,50.627,607.528,11.0,0.149,Poor
Karnataka-Bagalkot-Safflower-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Safflower,4793.0,0.0,127.964,50.627,607.528,2817.0,0.588,Good
Karnataka-Bagalkot-Sunflower-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Sunflower,48590.0,0.0,127.964,50.627,607.528,24663.0,0.508,Poor
Karnataka-Bagalkot-Wheat-2001-Rabi,Karnataka,Bagalkot,2001,Rabi,Wheat,25855.0,0.0,127.964,50.627,607.528,34969.0,1.353,Excellent
Karnataka-Bagalkot-Maize-2001-Summer,Karnataka,Bagalkot,2001,Summer,Maize,1396.0,0.0,127.964,50.627,607.528,4066.0,2.913,Good
Karnataka-Bagalkot-Rice-2001-Summer,Karnataka,Bagalkot,2001,Summer,Rice,13.0,0.0,127.964,50.627,607.528,19.0,1.462,Good
Karnataka-Bagalkot-Sunflower-2001-Summer,Karnataka,Bagalkot,2001,Summer,Sunflower,3442.0,0.0,127.964,50.627,607.528,3365.0,0.978,Poor
Karnataka-Bagalkot-Arecanut-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Arecanut,4.0,0.0,127.964,50.627,607.528,6.0,1.5,Poor
Karnataka-Bagalkot-Coconut -2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Coconut,1142.0,0.0,127.964,50.627,607.528,5456.0,4.778,Poor
Karnataka-Bagalkot-Coriander-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Coriander,30.0,0.0,127.964,50.627,607.528,3.0,0.1,Poor
Karnataka-Bagalkot-Dry chillies-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Dry chillies,704.0,0.0,127.964,50.627,607.528,608.0,0.864,Poor
Karnataka-Bagalkot-Onion-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Onion,6247.0,0.0,127.964,50.627,607.528,64311.0,10.295,Very Good
Karnataka-Bagalkot-Sannhamp-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Sannhamp,22.0,0.0,127.964,50.627,607.528,5.0,0.227,Good
Karnataka-Bagalkot-Sugarcane-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Sugarcane,60450.0,0.0,127.964,50.627,607.528,5570468.0,92.15,Very Good
Karnataka-Bagalkot-Turmeric-2001-Whole Year,Karnataka,Bagalkot,2001,Whole Year,Turmeric,311.0,0.0,127.964,50.627,607.528,1553.0,4.994,Good
Karnataka-Bagalkot-Arhar/Tur-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Arhar/Tur,2749.0,0.036,160.831,52.748,632.97,1113.0,0.405,Poor
Karnataka-Bagalkot-Bajra-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Bajra,24007.0,0.036,160.831,52.748,632.97,7171.0,0.299,Poor
Karnataka-Bagalkot-Castor seed-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Castor seed,10.0,0.036,160.831,52.748,632.97,9.0,0.9,Poor
Karnataka-Bagalkot-Cotton(lint)-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Cotton(lint),3511.0,0.036,160.831,52.748,632.97,5149.0,1.467,Good
Karnataka-Bagalkot-Groundnut-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Groundnut,5720.0,0.036,160.831,52.748,632.97,1920.0,0.336,Poor
Karnataka-Bagalkot-Horse-gram-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Horse-gram,2660.0,0.036,160.831,52.748,632.97,2075.0,0.78,Very Good
Karnataka-Bagalkot-Jowar-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Jowar,5551.0,0.036,160.831,52.748,632.97,9005.0,1.622,Very Good
Karnataka-Bagalkot-Maize-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Maize,20026.0,0.036,160.831,52.748,632.97,60945.0,3.043,Good
Karnataka-Bagalkot-Mesta-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Mesta,7.0,0.036,160.831,52.748,632.97,13.0,1.857,Good
Karnataka-Bagalkot-Moong(Green Gram)-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Moong(Green Gram),16545.0,0.036,160.831,52.748,632.97,330.0,0.02,Poor
Karnataka-Bagalkot-Niger seed-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Niger seed,122.0,0.036,160.831,52.748,632.97,18.0,0.148,Poor
Karnataka-Bagalkot-Other Kharif pulses-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Other Kharif pulses,9360.0,0.036,160.831,52.748,632.97,1646.0,0.176,Poor
Karnataka-Bagalkot-Rice-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Rice,112.0,0.036,160.831,52.748,632.97,230.0,2.054,Good
Karnataka-Bagalkot-Sesamum-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Sesamum,1225.0,0.036,160.831,52.748,632.97,796.0,0.65,Good
Karnataka-Bagalkot-Small millets-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Small millets,271.0,0.036,160.831,52.748,632.97,67.0,0.247,Poor
Karnataka-Bagalkot-Soyabean-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Soyabean,1349.0,0.036,160.831,52.748,632.97,728.0,0.54,Poor
Karnataka-Bagalkot-Sunflower-2002-Kharif,Karnataka,Bagalkot,2002,Kharif,Sunflower,22376.0,0.036,160.831,52.748,632.97,11438.0,0.511,Poor
Karnataka-Bagalkot-Gram-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Gram,26669.0,0.036,160.831,52.748,632.97,17905.0,0.671,Very Good
Karnataka-Bagalkot-Groundnut-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Groundnut,10177.0,0.036,160.831,52.748,632.97,12994.0,1.277,Very Good
Karnataka-Bagalkot-Horse-gram-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Horse-gram,4254.0,0.036,160.831,52.748,632.97,1689.0,0.397,Poor
Karnataka-Bagalkot-Jowar-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Jowar,157259.0,0.036,160.831,52.748,632.97,98880.0,0.629,Poor
Karnataka-Bagalkot-Linseed-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Linseed,4997.0,0.036,160.831,52.748,632.97,2207.0,0.442,Excellent
Karnataka-Bagalkot-Maize-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Maize,9197.0,0.036,160.831,52.748,632.97,31585.0,3.434,Very Good
Karnataka-Bagalkot-Other  Rabi pulses-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Other  Rabi pulses,176.0,0.036,160.831,52.748,632.97,21.0,0.119,Poor
Karnataka-Bagalkot-Rapeseed &Mustard-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Rapeseed &Mustard,80.0,0.036,160.831,52.748,632.97,12.0,0.15,Poor
Karnataka-Bagalkot-Safflower-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Safflower,3916.0,0.036,160.831,52.748,632.97,2703.0,0.69,Good
Karnataka-Bagalkot-Sunflower-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Sunflower,55498.0,0.036,160.831,52.748,632.97,31053.0,0.56,Poor
Karnataka-Bagalkot-Wheat-2002-Rabi,Karnataka,Bagalkot,2002,Rabi,Wheat,23327.0,0.036,160.831,52.748,632.97,32386.0,1.388,Excellent
Karnataka-Bagalkot-Jowar-2002-Summer,Karnataka,Bagalkot,2002,Summer,Jowar,2.0,0.036,160.831,52.748,632.97,2.0,1.0,Good
Karnataka-Bagalkot-Maize-2002-Summer,Karnataka,Bagalkot,2002,Summer,Maize,1233.0,0.036,160.831,52.748,632.97,4217.0,3.42,Very Good
Karnataka-Bagalkot-Rice-2002-Summer,Karnataka,Bagalkot,2002,Summer,Rice,15.0,0.036,160.831,52.748,632.97,16.0,1.067,Poor
Karnataka-Bagalkot-Sunflower-2002-Summer,Karnataka,Bagalkot,2002,Summer,Sunflower,3207.0,0.036,160.831,52.748,632.97,2809.0,0.876,Poor
Karnataka-Bagalkot-Arcanut (Processed)-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Arcanut (Processed),6.0,0.036,160.831,52.748,632.97,8.0,1.333,Very Good
Karnataka-Bagalkot-Atcanut (Raw)-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Atcanut (Raw),6.0,0.036,160.831,52.748,632.97,40.0,6.667,Very Good
Karnataka-Bagalkot-Banana-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Banana,466.0,0.036,160.831,52.748,632.97,7118.0,15.275,Poor
Karnataka-Bagalkot-Brinjal-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Brinjal,215.0,0.036,160.831,52.748,632.97,1010.0,4.698,Poor
Karnataka-Bagalkot-Citrus Fruit-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Citrus Fruit,350.0,0.036,160.831,52.748,632.97,3155.0,9.014,Good
Karnataka-Bagalkot-Coconut -2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Coconut,877.0,0.036,160.831,52.748,632.97,4190.0,4.778,Poor
Karnataka-Bagalkot-Coriander-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Coriander,30.0,0.036,160.831,52.748,632.97,3.0,0.1,Poor
Karnataka-Bagalkot-Dry chillies-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Dry chillies,543.0,0.036,160.831,52.748,632.97,292.0,0.538,Poor
Karnataka-Bagalkot-Garlic-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Garlic,18.0,0.036,160.831,52.748,632.97,15.0,0.833,Poor
Karnataka-Bagalkot-Grapes-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Grapes,608.0,0.036,160.831,52.748,632.97,16383.0,26.946,Good
Karnataka-Bagalkot-Mango-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Mango,287.0,0.036,160.831,52.748,632.97,920.0,3.206,Poor
Karnataka-Bagalkot-Onion-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Onion,3329.0,0.036,160.831,52.748,632.97,30605.0,9.193,Good
Karnataka-Bagalkot-Other Fresh Fruits-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Other Fresh Fruits,452.0,0.036,160.831,52.748,632.97,955.0,2.113,Poor
Karnataka-Bagalkot-Papaya-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Papaya,43.0,0.036,160.831,52.748,632.97,117.0,2.721,Good
Karnataka-Bagalkot-Pome Fruit-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Pome Fruit,48.0,0.036,160.831,52.748,632.97,168.0,3.5,Poor
Karnataka-Bagalkot-Sannhamp-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Sannhamp,22.0,0.036,160.831,52.748,632.97,5.0,0.227,Good
Karnataka-Bagalkot-Sugarcane-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Sugarcane,58694.0,0.036,160.831,52.748,632.97,5241374.0,89.3,Very Good
Karnataka-Bagalkot-Sweet potato-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Sweet potato,20.0,0.036,160.831,52.748,632.97,63.0,3.15,Poor
Karnataka-Bagalkot-Tomato-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Tomato,114.0,0.036,160.831,52.748,632.97,639.0,5.605,Good
Karnataka-Bagalkot-Turmeric-2002-Whole Year,Karnataka,Bagalkot,2002,Whole Year,Turmeric,356.0,0.036,160.831,52.748,632.97,1991.0,5.593,Good
Karnataka-Bagalkot-Arhar/Tur-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Arhar/Tur,736.0,0.018,142.366,49.295,591.535,40.0,0.054,Excellent
Karnataka-Bagalkot-Bajra-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Bajra,15454.0,0.018,142.366,49.295,591.535,8153.0,0.528,Good
Karnataka-Bagalkot-Castor seed-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Castor seed,1.0,0.018,142.366,49.295,591.535,1.0,1.0,Good
Karnataka-Bagalkot-Cotton(lint)-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Cotton(lint),3226.0,0.018,142.366,49.295,591.535,6374.0,1.976,Good
Karnataka-Bagalkot-Groundnut-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Groundnut,2649.0,0.018,142.366,49.295,591.535,1644.0,0.621,Good
Karnataka-Bagalkot-Horse-gram-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Horse-gram,437.0,0.018,142.366,49.295,591.535,112.0,0.256,Poor
Karnataka-Bagalkot-Jowar-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Jowar,4339.0,0.018,142.366,49.295,591.535,9345.0,2.154,Excellent
Karnataka-Bagalkot-Maize-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Maize,14493.0,0.018,142.366,49.295,591.535,52889.0,3.649,Very Good
Karnataka-Bagalkot-Mesta-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Mesta,150.0,0.018,142.366,49.295,591.535,286.0,1.907,Very Good
Karnataka-Bagalkot-Moong(Green Gram)-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Moong(Green Gram),969.0,0.018,142.366,49.295,591.535,56.0,0.058,Poor
Karnataka-Bagalkot-Niger seed-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Niger seed,153.0,0.018,142.366,49.295,591.535,23.0,0.15,Poor
Karnataka-Bagalkot-Other Kharif pulses-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Other Kharif pulses,133.0,0.018,142.366,49.295,591.535,45.0,0.338,Poor
Karnataka-Bagalkot-Rice-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Rice,93.0,0.018,142.366,49.295,591.535,210.0,2.258,Good
Karnataka-Bagalkot-Sesamum-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Sesamum,536.0,0.018,142.366,49.295,591.535,236.0,0.44,Good
Karnataka-Bagalkot-Small millets-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Small millets,67.0,0.018,142.366,49.295,591.535,39.0,0.582,Good
Karnataka-Bagalkot-Soyabean-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Soyabean,272.0,0.018,142.366,49.295,591.535,119.0,0.438,Poor
Karnataka-Bagalkot-Sunflower-2003-Kharif,Karnataka,Bagalkot,2003,Kharif,Sunflower,11643.0,0.018,142.366,49.295,591.535,9155.0,0.786,Poor
Karnataka-Bagalkot-Gram-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Gram,28249.0,0.018,142.366,49.295,591.535,4448.0,0.157,Poor
Karnataka-Bagalkot-Groundnut-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Groundnut,14870.0,0.018,142.366,49.295,591.535,22871.0,1.538,Very Good
Karnataka-Bagalkot-Horse-gram-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Horse-gram,2879.0,0.018,142.366,49.295,591.535,230.0,0.08,Poor
Karnataka-Bagalkot-Jowar-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Jowar,134368.0,0.018,142.366,49.295,591.535,10766.0,0.08,Poor
Karnataka-Bagalkot-Linseed-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Linseed,3523.0,0.018,142.366,49.295,591.535,264.0,0.075,Poor
Karnataka-Bagalkot-Maize-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Maize,11898.0,0.018,142.366,49.295,591.535,32576.0,2.738,Good
Karnataka-Bagalkot-Other  Rabi pulses-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Other  Rabi pulses,571.0,0.018,142.366,49.295,591.535,76.0,0.133,Good
Karnataka-Bagalkot-Rapeseed &Mustard-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Rapeseed &Mustard,65.0,0.018,142.366,49.295,591.535,10.0,0.154,Poor
Karnataka-Bagalkot-Safflower-2003-Rabi,Karnataka,Bagalkot,2003,Rabi,Safflower,2767.0,0.018,142.366,49.295,591.535,343.0,0.124,Excellent
